date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:20:31	248/248	---M-Z	200	added ('OK')	text/plain	etag:%22d520683b35ad21:0%22	http://www.galgotiasuniversity.edu.in/robots.txt		(from )
13:20:33	121376/121376	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20May%202017%2007:50:30%20GMT	http://www.galgotiasuniversity.edu.in/	C:/Users/Shivashish%20Ratnam/Desktop/scse-gu/gu/www.galgotiasuniversity.edu.in/index.html	(from )
13:20:34	894/894	---M--	200	added ('OK')	image/x-icon	etag:%22b1b8ebedc60d21:0%22	http://www.galgotiasuniversity.edu.in/favicon.ico	C:/Users/Shivashish%20Ratnam/Desktop/scse-gu/gu/www.galgotiasuniversity.edu.in/favicon.ico	(from http://www.galgotiasuniversity.edu.in/)
13:20:36	83373/83373	---M-Z	200	added ('OK')	text/css	etag:%22b32820329ec5d21:0%22	http://www.galgotiasuniversity.edu.in/style.css	C:/Users/Shivashish%20Ratnam/Desktop/scse-gu/gu/www.galgotiasuniversity.edu.in/style.css	(from http://www.galgotiasuniversity.edu.in/)
13:20:37	56878/56878	---M-Z	200	added ('OK')	application/x-javascript	etag:%229537dcacaab8d01:0%22	http://www.galgotiasuniversity.edu.in/js/jquery.nicescroll.min.js	C:/Users/Shivashish%20Ratnam/Desktop/scse-gu/gu/www.galgotiasuniversity.edu.in/js/jquery.nicescroll.min.js	(from http://www.galgotiasuniversity.edu.in/)
13:20:37	8662/8662	---M-Z	200	added ('OK')	application/x-javascript	etag:%227b34eadaab8d01:0%22	http://www.galgotiasuniversity.edu.in/js/menu/jquery-ui.js	C:/Users/Shivashish%20Ratnam/Desktop/scse-gu/gu/www.galgotiasuniversity.edu.in/js/menu/jquery-ui.js	(from http://www.galgotiasuniversity.edu.in/)
13:20:38	3243/3243	---M-Z	200	added ('OK')	application/x-javascript	etag:%221228d6adaab8d01:0%22	http://www.galgotiasuniversity.edu.in/js/menu/menu.jquery.min.js	C:/Users/Shivashish%20Ratnam/Desktop/scse-gu/gu/www.galgotiasuniversity.edu.in/js/menu/menu.jquery.min.js	(from http://www.galgotiasuniversity.edu.in/)
13:20:39	2758/2758	---M-Z	200	added ('OK')	application/x-javascript	etag:%225a107adaab8d01:0%22	http://www.galgotiasuniversity.edu.in/js/tickerme.min.js	C:/Users/Shivashish%20Ratnam/Desktop/scse-gu/gu/www.galgotiasuniversity.edu.in/js/tickerme.min.js	(from http://www.galgotiasuniversity.edu.in/)
13:20:41	54915/54915	---M-Z	200	added ('OK')	application/x-javascript	etag:%22585f4acaab8d01:0%22	http://www.galgotiasuniversity.edu.in/js/jquery.flexslider.js	C:/Users/Shivashish%20Ratnam/Desktop/scse-gu/gu/www.galgotiasuniversity.edu.in/js/jquery.flexslider.js	(from http://www.galgotiasuniversity.edu.in/)
13:20:41	53570/53570	---M-Z	200	added ('OK')	application/x-javascript	etag:%22cc488bacaab8d01:0%22	http://www.galgotiasuniversity.edu.in/js/cycle.js	C:/Users/Shivashish%20Ratnam/Desktop/scse-gu/gu/www.galgotiasuniversity.edu.in/js/cycle.js	(from http://www.galgotiasuniversity.edu.in/)
